               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.071849,            0.071406,                   0,             0.30747,             0.71429,             0.42322,             0.16031,            0.081357,              0.0647,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.075307,            0.062305,                   0,             0.33402,             0.85714,             0.37927,             0.13438,            0.067397,            0.065951,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.062961,            0.058107,                   0,             0.33402,             0.85714,             0.37927,             0.13438,            0.067397,            0.065951,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,             0.06549,            0.067396,                   0,              0.6324,             0.71429,             0.66236,             0.20763,            0.064563,            0.069755,                   0,             0.00934,             0.00934,             0.00934
                  42,            0.066647,            0.088676,                   0,             0.15259,             0.69048,             0.16696,            0.051602,            0.077104,            0.079399,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.073525,            0.077483,                   0,             0.30943,             0.57143,             0.39638,             0.16295,            0.065997,            0.072269,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.070195,            0.071145,                   0,             0.30943,             0.57143,             0.39638,             0.16295,            0.065997,            0.072269,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.063743,              0.0543,                   0,             0.25021,             0.69048,             0.31633,             0.12105,            0.066807,            0.072849,                   0,            0.009274,            0.009274,            0.009274
                  46,            0.071206,            0.068817,                   0,              0.3083,              0.7381,             0.40806,             0.13366,             0.06718,            0.072063,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.066946,            0.056791,                   0,             0.21408,              0.7381,             0.28287,            0.099186,            0.077499,            0.071998,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.074671,            0.052856,                   0,             0.21408,              0.7381,             0.28287,            0.099186,            0.077499,            0.071998,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,            0.063314,            0.053138,                   0,             0.34046,              0.7381,             0.43182,             0.18733,            0.062066,            0.066041,                   0,            0.009208,            0.009208,            0.009208
                  50,             0.05878,            0.064373,                   0,             0.61077,             0.69048,             0.58975,             0.27597,            0.065033,            0.063785,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.063522,            0.049424,                   0,             0.37528,             0.62941,             0.46889,             0.12414,            0.066004,            0.068001,                   0,            0.009175,            0.009175,            0.009175
                  52,             0.06232,            0.071624,                   0,             0.37528,             0.62941,             0.46889,             0.12414,            0.066004,            0.068001,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.058818,             0.06467,                   0,             0.48518,             0.71429,             0.60538,             0.21591,            0.057762,             0.06247,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.055401,            0.057143,                   0,             0.62201,             0.71429,             0.70201,             0.30656,             0.06043,            0.066686,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.061695,            0.066538,                   0,             0.44327,             0.66667,             0.53745,             0.22746,            0.056374,            0.064236,                   0,            0.009109,            0.009109,            0.009109
                  56,            0.055401,            0.067693,                   0,             0.44327,             0.66667,             0.53745,             0.22746,            0.056374,            0.064236,                   0,           0.0090925,           0.0090925,           0.0090925
                  57,            0.052619,            0.063643,                   0,             0.67997,             0.69048,             0.81564,             0.41697,            0.046729,            0.061477,                   0,            0.009076,            0.009076,            0.009076
                  58,            0.044706,            0.052531,                   0,             0.48446,             0.71429,             0.63429,             0.29161,            0.049671,             0.06657,                   0,           0.0090595,           0.0090595,           0.0090595
                  59,            0.048145,            0.071364,                   0,              0.3625,             0.61905,             0.43261,             0.16417,            0.060427,            0.071057,                   0,            0.009043,            0.009043,            0.009043
                  60,            0.059608,            0.059286,                   0,              0.3625,             0.61905,             0.43261,             0.16417,            0.060427,            0.071057,                   0,           0.0090265,           0.0090265,           0.0090265
                  61,            0.056424,            0.072693,                   0,             0.53039,             0.61905,             0.65442,             0.30202,            0.052085,            0.065603,                   0,             0.00901,             0.00901,             0.00901
                  62,            0.058594,            0.063182,                   0,             0.52892,             0.57143,             0.57642,             0.22106,            0.061033,            0.066531,                   0,           0.0089935,           0.0089935,           0.0089935
                  63,             0.06016,            0.059538,                   0,             0.50451,             0.71429,             0.57271,             0.24647,            0.052501,            0.061451,                   0,            0.008977,            0.008977,            0.008977
                  64,            0.049287,            0.064582,                   0,             0.50451,             0.71429,             0.57271,             0.24647,            0.052501,            0.061451,                   0,           0.0089605,           0.0089605,           0.0089605
                  65,             0.05966,            0.070451,                   0,             0.69569,             0.70772,              0.7818,              0.3731,            0.048399,            0.061387,                   0,            0.008944,            0.008944,            0.008944
                  66,            0.049582,             0.07205,                   0,             0.54537,              0.7381,             0.54778,             0.24862,            0.053363,            0.067589,                   0,           0.0089275,           0.0089275,           0.0089275
                  67,            0.054445,            0.062893,                   0,             0.65235,             0.75955,             0.75315,             0.30723,            0.050501,            0.067602,                   0,            0.008911,            0.008911,            0.008911
                  68,            0.055656,             0.07005,                   0,             0.65235,             0.75955,             0.75315,             0.30723,            0.050501,            0.067602,                   0,           0.0088945,           0.0088945,           0.0088945
                  69,            0.050101,            0.093467,                   0,             0.75525,             0.80823,             0.86526,             0.43718,            0.044913,            0.063501,                   0,            0.008878,            0.008878,            0.008878
                  70,            0.039227,            0.046845,                   0,             0.60136,              0.7619,             0.75137,             0.30585,            0.059149,            0.065796,                   0,           0.0088615,           0.0088615,           0.0088615
                  71,            0.058629,            0.047593,                   0,             0.52479,             0.52381,             0.57993,             0.27207,            0.050001,            0.062276,                   0,            0.008845,            0.008845,            0.008845
                  72,            0.051555,            0.071202,                   0,             0.52479,             0.52381,             0.57993,             0.27207,            0.050001,            0.062276,                   0,           0.0088285,           0.0088285,           0.0088285
                  73,            0.049855,            0.081213,                   0,             0.48589,              0.7619,             0.63786,             0.31461,             0.04856,            0.062534,                   0,            0.008812,            0.008812,            0.008812
                  74,            0.045106,            0.051919,                   0,             0.82806,             0.80276,             0.87534,             0.41581,            0.049833,            0.062509,                   0,           0.0087955,           0.0087955,           0.0087955
                  75,            0.049942,            0.052653,                   0,             0.80761,             0.69048,             0.84352,             0.35428,            0.048073,            0.062083,                   0,            0.008779,            0.008779,            0.008779
                  76,             0.05253,            0.061014,                   0,             0.80761,             0.69048,             0.84352,             0.35428,            0.048073,            0.062083,                   0,           0.0087625,           0.0087625,           0.0087625
                  77,            0.042737,            0.061044,                   0,             0.84349,             0.77003,             0.91817,             0.49592,            0.040258,            0.059917,                   0,            0.008746,            0.008746,            0.008746
                  78,            0.042751,            0.052106,                   0,             0.67247,              0.7381,             0.75152,             0.42103,             0.04663,             0.06354,                   0,           0.0087295,           0.0087295,           0.0087295
                  79,            0.050187,             0.05911,                   0,             0.71079,             0.92857,             0.85388,              0.4818,             0.04247,            0.061232,                   0,            0.008713,            0.008713,            0.008713
                  80,            0.047883,            0.054487,                   0,             0.71079,             0.92857,             0.85388,              0.4818,             0.04247,            0.061232,                   0,           0.0086965,           0.0086965,           0.0086965
                  81,            0.042493,            0.048517,                   0,             0.64769,              0.9193,             0.87395,             0.52567,            0.040732,            0.060665,                   0,             0.00868,             0.00868,             0.00868
                  82,            0.046828,            0.053514,                   0,             0.57276,              0.7619,             0.69578,             0.33754,             0.05244,              0.0647,                   0,           0.0086635,           0.0086635,           0.0086635
                  83,            0.051153,            0.065786,                   0,              0.6885,             0.89474,             0.88027,             0.50403,            0.040985,            0.062418,                   0,            0.008647,            0.008647,            0.008647
                  84,            0.041445,            0.047009,                   0,              0.6885,             0.89474,             0.88027,             0.50403,            0.040985,            0.062418,                   0,           0.0086305,           0.0086305,           0.0086305
                  85,            0.042958,            0.062733,                   0,             0.90414,             0.89835,             0.95404,             0.52054,            0.038542,            0.061155,                   0,            0.008614,            0.008614,            0.008614
                  86,            0.040458,            0.063687,                   0,             0.55248,              0.7381,             0.73449,             0.47263,            0.049691,            0.065938,                   0,           0.0085975,           0.0085975,           0.0085975
                  87,            0.049967,            0.060577,                   0,             0.97286,             0.69048,             0.90391,             0.41107,            0.043206,            0.062715,                   0,            0.008581,            0.008581,            0.008581
                  88,            0.041311,            0.044634,                   0,             0.97286,             0.69048,             0.90391,             0.41107,            0.043206,            0.062715,                   0,           0.0085645,           0.0085645,           0.0085645
                  89,            0.047752,            0.077059,                   0,             0.96772,             0.71429,             0.90073,             0.48847,            0.039208,            0.062921,                   0,            0.008548,            0.008548,            0.008548
                  90,            0.044884,            0.044485,                   0,             0.94013,             0.83333,             0.94729,             0.58782,            0.041152,            0.063127,                   0,           0.0085315,           0.0085315,           0.0085315
                  91,            0.042629,            0.062036,                   0,             0.71632,             0.80952,             0.87342,             0.39806,            0.046288,            0.067344,                   0,            0.008515,            0.008515,            0.008515
                  92,            0.048899,             0.05316,                   0,             0.71632,             0.80952,             0.87342,             0.39806,            0.046288,            0.067344,                   0,           0.0084985,           0.0084985,           0.0084985
                  93,            0.048293,            0.046675,                   0,             0.83615,             0.83333,             0.92948,             0.52679,            0.041277,            0.065229,                   0,            0.008482,            0.008482,            0.008482
                  94,            0.038516,            0.043296,                   0,             0.68511,             0.83333,             0.77117,             0.45114,            0.043946,            0.067112,                   0,           0.0084655,           0.0084655,           0.0084655
                  95,            0.046148,             0.07907,                   0,             0.78699,             0.83333,             0.89381,              0.5724,            0.039727,            0.062973,                   0,            0.008449,            0.008449,            0.008449
                  96,            0.040237,            0.063102,                   0,             0.78699,             0.83333,             0.89381,              0.5724,            0.039727,            0.062973,                   0,           0.0084325,           0.0084325,           0.0084325
                  97,            0.039618,            0.061064,                   0,             0.88186,             0.88878,             0.95358,             0.64039,             0.03577,            0.061877,                   0,            0.008416,            0.008416,            0.008416
                  98,            0.042161,            0.075416,                   0,             0.76304,             0.83333,             0.89073,             0.51119,            0.045692,            0.065087,                   0,           0.0083995,           0.0083995,           0.0083995
                  99,            0.042977,            0.054478,                   0,             0.79001,             0.83333,             0.91395,             0.48217,            0.041946,            0.062934,                   0,            0.008383,            0.008383,            0.008383
                 100,            0.045477,            0.059163,                   0,             0.79001,             0.83333,             0.91395,             0.48217,            0.041946,            0.062934,                   0,           0.0083665,           0.0083665,           0.0083665
                 101,            0.037849,            0.051093,                   0,             0.81697,              0.8503,             0.92436,             0.52933,             0.03805,             0.06091,                   0,             0.00835,             0.00835,             0.00835
                 102,            0.043274,            0.078503,                   0,             0.86792,             0.78239,             0.91861,             0.51938,            0.048469,            0.063966,                   0,           0.0083335,           0.0083335,           0.0083335
                 103,            0.046696,            0.075402,                   0,              0.8875,             0.83333,             0.94464,             0.50628,            0.037392,            0.061567,                   0,            0.008317,            0.008317,            0.008317
                 104,            0.034241,            0.045177,                   0,              0.8875,             0.83333,             0.94464,             0.50628,            0.037392,            0.061567,                   0,           0.0083005,           0.0083005,           0.0083005
                 105,            0.040784,            0.072747,                   0,              0.9597,             0.83333,             0.95344,             0.55788,            0.036218,            0.061799,                   0,            0.008284,            0.008284,            0.008284
                 106,            0.039597,            0.050179,                   0,             0.97103,              0.7981,             0.93755,             0.58504,            0.037933,             0.06216,                   0,           0.0082675,           0.0082675,           0.0082675
                 107,            0.036798,            0.057245,                   0,             0.75395,             0.80262,             0.88476,             0.51262,              0.0403,            0.063476,                   0,            0.008251,            0.008251,            0.008251
                 108,            0.042951,            0.064342,                   0,             0.75395,             0.80262,             0.88476,             0.51262,              0.0403,            0.063476,                   0,           0.0082345,           0.0082345,           0.0082345
                 109,            0.047048,            0.076339,                   0,             0.91538,             0.85714,             0.95038,             0.59912,            0.036502,            0.063914,                   0,            0.008218,            0.008218,            0.008218
                 110,            0.038973,            0.054002,                   0,             0.78527,             0.87086,             0.87607,             0.48478,            0.043455,            0.067537,                   0,           0.0082015,           0.0082015,           0.0082015
                 111,             0.04119,            0.053024,                   0,             0.88875,             0.85714,             0.92836,             0.54317,            0.040341,            0.064868,                   0,            0.008185,            0.008185,            0.008185
                 112,            0.046683,             0.07399,                   0,             0.88875,             0.85714,             0.92836,             0.54317,            0.040341,            0.064868,                   0,           0.0081685,           0.0081685,           0.0081685
                 113,            0.037404,            0.057179,                   0,             0.97347,             0.87385,             0.95601,              0.5963,             0.03659,            0.064765,                   0,            0.008152,            0.008152,            0.008152
                 114,            0.044477,            0.039046,                   0,             0.91994,             0.85714,             0.92259,             0.50546,            0.044713,            0.067073,                   0,           0.0081355,           0.0081355,           0.0081355
                 115,            0.042168,            0.063909,                   0,             0.90155,             0.87232,             0.92688,             0.60671,            0.036109,            0.064894,                   0,            0.008119,            0.008119,            0.008119
                 116,            0.045337,            0.063725,                   0,             0.90155,             0.87232,             0.92688,             0.60671,            0.036109,            0.064894,                   0,           0.0081025,           0.0081025,           0.0081025
                 117,            0.034855,            0.047567,                   0,             0.93705,             0.90476,             0.95518,             0.62081,            0.035384,            0.064546,                   0,            0.008086,            0.008086,            0.008086
                 118,            0.033702,             0.03883,                   0,             0.93208,             0.85714,             0.93698,             0.58812,            0.037317,            0.064791,                   0,           0.0080695,           0.0080695,           0.0080695
                 119,            0.036684,            0.059793,                   0,             0.81356,             0.85714,             0.91167,             0.54184,            0.041728,             0.06773,                   0,            0.008053,            0.008053,            0.008053
                 120,            0.038213,            0.045167,                   0,             0.81356,             0.85714,             0.91167,             0.54184,            0.041728,             0.06773,                   0,           0.0080365,           0.0080365,           0.0080365
                 121,            0.034108,             0.04229,                   0,             0.93618,             0.85714,             0.94515,             0.58891,            0.038723,            0.066493,                   0,             0.00802,             0.00802,             0.00802
                 122,            0.040186,            0.043811,                   0,              0.9051,             0.90837,             0.94445,             0.55396,            0.046245,            0.068014,                   0,           0.0080035,           0.0080035,           0.0080035
                 123,            0.044189,            0.055547,                   0,             0.87957,             0.86964,             0.92756,             0.50879,            0.038186,            0.067228,                   0,            0.007987,            0.007987,            0.007987
                 124,            0.044609,            0.052733,                   0,             0.87957,             0.86964,             0.92756,             0.50879,            0.038186,            0.067228,                   0,           0.0079705,           0.0079705,           0.0079705
                 125,            0.038976,            0.055371,                   0,             0.90046,             0.86162,             0.93455,             0.55561,            0.036272,            0.065693,                   0,            0.007954,            0.007954,            0.007954
                 126,            0.038803,            0.049495,                   0,             0.99579,             0.80952,             0.94704,             0.55677,            0.040706,            0.067279,                   0,           0.0079375,           0.0079375,           0.0079375
                 127,            0.040639,            0.060861,                   0,             0.94246,             0.78002,             0.92356,             0.58492,            0.039589,             0.06871,                   0,            0.007921,            0.007921,            0.007921
                 128,            0.035764,            0.046426,                   0,             0.94246,             0.78002,             0.92356,             0.58492,            0.039589,             0.06871,                   0,           0.0079045,           0.0079045,           0.0079045
                 129,            0.041508,            0.084667,                   0,             0.94023,             0.80952,             0.94051,             0.61058,            0.036979,            0.067331,                   0,            0.007888,            0.007888,            0.007888
                 130,            0.039461,            0.060954,                   0,             0.97244,             0.84027,             0.95623,             0.63279,            0.038585,            0.065165,                   0,           0.0078715,           0.0078715,           0.0078715
                 131,            0.036099,            0.055082,                   0,             0.98505,             0.80952,             0.94995,             0.63588,            0.035729,            0.063991,                   0,            0.007855,            0.007855,            0.007855
                 132,            0.037192,            0.054131,                   0,             0.98505,             0.80952,             0.94995,             0.63588,            0.035729,            0.063991,                   0,           0.0078385,           0.0078385,           0.0078385
                 133,            0.032859,            0.060061,                   0,             0.90012,             0.85828,             0.95676,             0.61937,            0.033782,            0.061877,                   0,            0.007822,            0.007822,            0.007822
                 134,            0.030609,            0.052774,                   0,             0.99068,             0.80952,             0.94766,             0.60614,            0.038114,            0.062702,                   0,           0.0078055,           0.0078055,           0.0078055
                 135,            0.041304,            0.063324,                   0,             0.94263,             0.80952,             0.93443,             0.50719,             0.04102,            0.064249,                   0,            0.007789,            0.007789,            0.007789
                 136,            0.044935,            0.049328,                   0,             0.94263,             0.80952,             0.93443,             0.50719,             0.04102,            0.064249,                   0,           0.0077725,           0.0077725,           0.0077725
                 137,            0.038375,            0.042796,                   0,              0.9207,             0.82937,             0.94419,             0.61703,            0.034713,            0.061877,                   0,            0.007756,            0.007756,            0.007756
                 138,            0.039216,            0.078714,                   0,             0.95822,             0.78571,             0.93007,             0.57002,            0.039379,            0.063166,                   0,           0.0077395,           0.0077395,           0.0077395
                 139,            0.043851,            0.085177,                   0,             0.93914,             0.80952,             0.94097,             0.59555,            0.038325,            0.066041,                   0,            0.007723,            0.007723,            0.007723
                 140,            0.036845,            0.048996,                   0,             0.93914,             0.80952,             0.94097,             0.59555,            0.038325,            0.066041,                   0,           0.0077065,           0.0077065,           0.0077065
                 141,            0.046563,            0.072123,                   0,             0.88172,             0.85714,             0.94137,             0.62379,             0.03452,            0.063243,                   0,             0.00769,             0.00769,             0.00769
                 142,             0.03677,            0.065361,                   0,             0.98263,             0.80952,             0.93188,             0.52503,             0.04538,            0.069536,                   0,           0.0076735,           0.0076735,           0.0076735
                 143,             0.04478,            0.078013,                   0,             0.97187,              0.8229,             0.94073,             0.56124,            0.034995,            0.069342,                   0,            0.007657,            0.007657,            0.007657
                 144,            0.040814,            0.061978,                   0,             0.97187,              0.8229,             0.94073,             0.56124,            0.034995,            0.069342,                   0,           0.0076405,           0.0076405,           0.0076405
                 145,            0.037124,            0.061482,                   0,             0.97122,             0.80349,             0.92731,             0.60544,            0.034589,            0.071882,                   0,            0.007624,            0.007624,            0.007624
                 146,            0.038111,            0.041296,                   0,             0.96696,              0.7619,              0.8993,              0.5386,            0.038633,             0.07294,                   0,           0.0076075,           0.0076075,           0.0076075
                 147,            0.039784,            0.070485,                   0,             0.99485,             0.78571,             0.92801,             0.61268,            0.035905,            0.070193,                   0,            0.007591,            0.007591,            0.007591
                 148,            0.036141,            0.050348,                   0,             0.99485,             0.78571,             0.92801,             0.61268,            0.035905,            0.070193,                   0,           0.0075745,           0.0075745,           0.0075745
                 149,            0.039346,            0.053014,                   0,             0.99023,             0.78571,             0.93926,             0.61383,            0.037359,            0.067795,                   0,            0.007558,            0.007558,            0.007558
                 150,            0.038752,            0.073351,                   0,              0.9423,             0.77775,             0.92379,             0.54127,            0.041103,            0.068994,                   0,           0.0075415,           0.0075415,           0.0075415
                 151,            0.043125,            0.049849,                   0,             0.89329,              0.7974,             0.91565,             0.52474,             0.03637,            0.069355,                   0,            0.007525,            0.007525,            0.007525
                 152,            0.038844,            0.043114,                   0,             0.89329,              0.7974,             0.91565,             0.52474,             0.03637,            0.069355,                   0,           0.0075085,           0.0075085,           0.0075085
                 153,            0.034419,            0.048299,                   0,             0.97062,             0.78671,             0.93329,             0.58009,            0.034149,             0.06853,                   0,            0.007492,            0.007492,            0.007492
                 154,            0.032116,            0.047411,                   0,             0.98901,             0.80952,             0.94704,             0.59465,            0.034893,            0.066119,                   0,           0.0074755,           0.0074755,           0.0074755
                 155,            0.037689,            0.062739,                   0,              0.9909,             0.80952,             0.94715,             0.59318,            0.038693,             0.06608,                   0,            0.007459,            0.007459,            0.007459
                 156,            0.041131,            0.049069,                   0,              0.9909,             0.80952,             0.94715,             0.59318,            0.038693,             0.06608,                   0,           0.0074425,           0.0074425,           0.0074425
                 157,            0.036972,            0.048544,                   0,             0.99028,             0.80952,             0.94587,             0.63288,            0.033166,            0.065113,                   0,            0.007426,            0.007426,            0.007426
                 158,            0.031023,            0.045373,                   0,             0.99324,             0.80952,             0.94057,              0.5549,            0.036895,            0.065474,                   0,           0.0074095,           0.0074095,           0.0074095
                 159,            0.032593,            0.044786,                   0,             0.97158,             0.81414,             0.95088,             0.62656,            0.033646,            0.063347,                   0,            0.007393,            0.007393,            0.007393
                 160,            0.033084,             0.05012,                   0,             0.97158,             0.81414,             0.95088,             0.62656,            0.033646,            0.063347,                   0,           0.0073765,           0.0073765,           0.0073765
                 161,            0.034057,              0.0436,                   0,             0.94649,             0.84245,             0.95132,             0.61724,            0.032618,            0.062999,                   0,             0.00736,             0.00736,             0.00736
                 162,            0.028977,            0.049197,                   0,             0.97151,             0.81204,             0.95114,              0.5929,            0.038143,            0.065397,                   0,           0.0073435,           0.0073435,           0.0073435
                 163,            0.034305,            0.048269,                   0,             0.96377,             0.80952,             0.93897,             0.60659,            0.035152,            0.067602,                   0,            0.007327,            0.007327,            0.007327
                 164,             0.04303,            0.078365,                   0,             0.96377,             0.80952,             0.93897,             0.60659,            0.035152,            0.067602,                   0,           0.0073105,           0.0073105,           0.0073105
                 165,            0.033377,            0.053693,                   0,              0.9668,             0.80952,             0.93109,             0.63582,             0.03312,            0.068698,                   0,            0.007294,            0.007294,            0.007294
                 166,             0.03272,            0.046789,                   0,             0.96817,             0.80952,             0.94331,             0.57566,            0.037852,            0.069278,                   0,           0.0072775,           0.0072775,           0.0072775
                 167,            0.041857,            0.048401,                   0,             0.96205,             0.83333,             0.94145,             0.62369,            0.034508,            0.065616,                   0,            0.007261,            0.007261,            0.007261
                 168,            0.039656,            0.062785,                   0,             0.96205,             0.83333,             0.94145,             0.62369,            0.034508,            0.065616,                   0,           0.0072445,           0.0072445,           0.0072445
                 169,            0.031615,            0.061589,                   0,             0.92182,             0.84242,             0.94822,             0.65405,             0.03273,             0.06452,                   0,            0.007228,            0.007228,            0.007228
                 170,            0.027144,            0.039572,                   0,             0.94832,               0.874,             0.95575,             0.62909,            0.035079,            0.066415,                   0,           0.0072115,           0.0072115,           0.0072115
                 171,            0.034381,            0.056821,                   0,             0.90238,             0.88038,             0.94301,             0.57869,            0.038622,            0.066596,                   0,            0.007195,            0.007195,            0.007195
